epoch,loss,accuracy,val_loss,val_accuracy
1,2.199997663497925,0.3182101845741272,2.1223621368408203,0.3344627320766449
2,1.7673578262329102,0.4605619013309479,1.828621506690979,0.437560498714447
3,1.480276346206665,0.5381894111633301,1.5973564386367798,0.46950629353523254
4,1.2903003692626953,0.6029136180877686,1.4799866676330566,0.5135527849197388
5,1.1214635372161865,0.6476587057113647,1.3734873533248901,0.5392062067985535
6,1.0137927532196045,0.6869927048683167,1.3251698017120361,0.5648596286773682
7,0.9147624373435974,0.715088427066803,1.2513233423233032,0.6040658354759216
8,0.8255224227905273,0.7500520348548889,1.1935601234436035,0.6171345710754395
9,0.7718943357467651,0.7631633877754211,1.189460039138794,0.6258470416069031
10,0.72052001953125,0.7783558964729309,1.1922581195831299,0.6161665320396423
11,0.6566441059112549,0.7979188561439514,1.130724549293518,0.6302033066749573
12,0.6342988610267639,0.8066597580909729,1.1174423694610596,0.6369796991348267
13,0.5738585591316223,0.8260145783424377,1.1006428003311157,0.6495643854141235
14,0.5307233333587646,0.8382934331893921,1.1125121116638184,0.653920590877533
15,0.5183420777320862,0.8443288207054138,1.077880620956421,0.6645691990852356
16,0.4799373745918274,0.853277862071991,1.0553357601165771,0.6665053367614746
17,0.44065046310424805,0.8661810755729675,1.044086217880249,0.671345591545105
18,0.43196195363998413,0.8688865900039673,1.0451050996780396,0.6790900230407715
19,0.42333149909973145,0.8697190284729004,1.0646449327468872,0.6844143271446228
20,0.38279014825820923,0.8847034573554993,1.0558321475982666,0.6689254641532898
21,0.35547980666160583,0.8940686583518982,1.0450764894485474,0.6766698956489563
22,0.34946757555007935,0.898231029510498,1.0627148151397705,0.6766698956489563
23,0.3435908854007721,0.8965660929679871,1.074341893196106,0.6839302778244019
24,0.31151971220970154,0.9032257795333862,1.0231647491455078,0.688770592212677
25,0.2874017357826233,0.9194589257240295,1.0673515796661377,0.6757018566131592
26,0.29174870252609253,0.9142559766769409,1.057142734527588,0.686834454536438
27,0.28721559047698975,0.9157127737998962,1.0353772640228271,0.6969990134239197
28,0.25140219926834106,0.9246618151664734,1.0342906713485718,0.6940948963165283
29,0.24569189548492432,0.9281997680664062,1.0889748334884644,0.6776379346847534
30,0.23007839918136597,0.932570219039917,1.090242624282837,0.6824781894683838
